	tweet	user	user_statuses_count	user_followers	user_verified	fav_count	rt_count	date
127	"@vladtenev @RobinhoodApp You need to advise all your customers why you are bailing out the hedge funds. Oh because they own you. 
Retail investors will leave you in droves."	Waddabout Dem 👉🏼	5377	77	False	0	0	2021-01-28 23:59:19
128	@RobinhoodApp CEO @vladtenev completely dismissed the most pertinent question asked by CNBC:  What do you say to the customers that LOST MONEY TODAY when their stocks went down since he made it impossible for people to BUY?   He had NO ANSWER.  #wallstreetbets #suerobinhood	Chris Balasinski (Ref Union)	309	94	False	0	0	2021-01-28 23:59:19
129	"@vladtenev You guys expect to go PUBLIC in a couple months?!?!?!? 
Lmaooooooo
Good luck what you just did today put a HUGE target on your backs.

Good luck buddy. You guys are going to be eaten alive. What are you gonna do restrict your own stock??? 

Get ready"	Jacob riddle	260	14	False	0	0	2021-01-28 23:59:18
130	@vladtenev WE LIKE $NOK	BPM 37093	4240	87	False	0	0	2021-01-28 23:59:18
131	.@vladtenev @RobinhoodApp you guys are so fucked. Have fun in the hole that the hedgies bury you in. Game over for You assholes thank you @CNBCFastMoney for exposing this clown	CG	3928	139	False	0	0	2021-01-28 23:59:18
132	"@incarceratedbob @RobinhoodApp @vladtenev Saying the retail investor should be more educated lmao...

NEWS FLASH: the hedge funds having a short float of 140% means maybe they need better educated"	Cheeblo	8956	81	False	0	0	2021-01-28 23:59:18
133	@emilychangtv @vladtenev @BloombergTV Ask him if it was worth him and Baiju going to jail to appease the suits	Willem Louw 🇿🇦🇨🇦	4798	141	False	0	0	2021-01-28 23:59:18
134	@Vito0078 @vladtenev because the same company that owns robinhood owns the hedge fund	MayoZambada	116	8	False	17	0	2021-01-28 23:59:17
135	@stocktalkweekly @RobinhoodApp @vladtenev @CNBC Get out or Robinhood and shut them down...	Santa Barbara	7192	65	False	2	0	2021-01-28 23:59:17
136	@HigherEdSocial @vladtenev @Citadel1842 @wsbmod Sorry got wrong Citadel. My apology.	Divine Love	1318	15	False	0	0	2021-01-28 23:59:17
137	@vladtenev Oh so that means you can make changes when our stocks go up! Nice try	Nic Ballance	778	189	False	0	0	2021-01-28 23:59:17
138	@vladtenev @RobinhoodApp Guess you got scared by all the lawsuits huh? Bunch of bussies.	Bri	383	10	False	0	0	2021-01-28 23:59:16
139	RT @OSUFAN4U2NV: @vladtenev Partner in crime huh. 🤔 https://t.co/RsVQzOPmt8	Helical Hypercom	25	12	False	0	361	2021-01-28 23:59:16
140	"@vladtenev @RobinhoodApp Too little too late
#CancelRobinhood"	Furyan	82	47	False	0	0	2021-01-28 23:59:16
141	@vladtenev @RobinhoodApp SHUT UP AND GET READY FOR LAWSUITS	Alberto	1703	12	False	0	0	2021-01-28 23:59:16
142	RT @PayvandM: @Jason @robinhood @vladtenev @bprafulkumar Tell that to all the young traders that had their positions liquidated after inten…	✝️LENAYE HEAVEN	52608	7074	False	0	3	2021-01-28 23:59:16
143	@vladtenev they allowed wall street hedge funds to buy stocks of GME but not other people ,this is criminal	Constantin Valdor	458	4	False	0	0	2021-01-28 23:59:15
144	@stocktalkweekly @RobinhoodApp @vladtenev @CNBC Dude is as crooked as his nose!!!	King_Luie68	35	8	False	3	0	2021-01-28 23:59:15
145	RT @imthedronelord: @Jason @robinhood @vladtenev @CNBC @carlquintanilla @jonfortt @rubenharris I guess u did sell ur soul https://t.co/ICoC…	ERIC CHRISTIAN SMALLS	55274	1256	False	0	3	2021-01-28 23:59:15
146	RT @bootblisters: @BirdsGraffiti @vladtenev Shut up nerd. I’ve never once walked into a casino and had a dealer tell me to lower my wager.	Ethaniel III	448	35	False	0	177	2021-01-28 23:59:14
147	@vladtenev I will admit, I have to give you a little bit of credit. It’s really difficult to find a way to piss EVERYBODY off. I mean even Donald Trump had supporters, absolutely nobody supports Robinhood now and I can guarantee that no one ever will.	Röv ☭	1102	76	False	8	0	2021-01-28 23:59:14
148	@vladtenev Time to ditch RobinHood you acted against Main St..lying to your teeth https://t.co/O54lLef5GY	Saif	247	23	False	1	0	2021-01-28 23:59:14
149	"@vladtenev You forgot who made your app so popular thn you screw them and now you have balls to tweet to the same people. 
I hope all those lawsuits make @RobinhoodApp go bank bankrupt. To people please #boycottrobinhood"	Saidul Chowdhury	2467	1820	False	0	0	2021-01-28 23:59:14
150	@vladtenev Vlad, after seeing your CNBC interview, it looks like you are in way over your head and do not have answers to Andrew and Melissa's questions.  Circular answers and reasons for your trade rules changes @MelissaLeeCNBC @CNBCFastMoney @andrewrsorkin	Max Casperini	73	0	False	0	0	2021-01-28 23:59:13
151	RT @vladtenev: I want to thank everyone for their patience and support. While today’s developments are not new, they are never easy.	Sandra	323383	18124	False	0	251	2021-01-28 23:59:13
152	@vladtenev FUCK YOU	lakers24/7	8500	58	False	0	0	2021-01-28 23:59:13
153	@RileyCNBC @joshdcaplan @vladtenev Well a simple enough, a class action should ask for communications in discovery 🤷‍♀️	AncientRoots	1126	425	False	0	0	2021-01-28 23:59:12
154	@vladtenev sounds like a child lying to his parents right now on @cnbc	Ghost	12	41	False	0	0	2021-01-28 23:59:12
155	RT @AmitJM10: @rtesfaye @vladtenev Short Robinhood when they go public !	Bat	6305	936	False	0	41	2021-01-28 23:59:12
156	@vladtenev Sad excuse of a PR post. @RobinhoodApp  actively cancelled orders made before the markets opened today and locked retail investors out of the market. Your IPO isn't looking too good. Good luck with the lawsuits. https://t.co/4lE0nJC6qF	Chandler	35	58	False	0	0	2021-01-28 23:59:11
157	Hey @vladtenev if you don't have the captial to support a platform, then you shouldn't have this damn business model. No one cares about your damn credit lines you tool	BullCraftMaxx (To The Moon) 🚀 $AMC $GME $BB	63075	422	False	0	0	2021-01-28 23:59:11
158	Your proactive measures should have been increasing your processing capacity and bandwidth and not restricting trades EVER, fucker @cnbc @robinhoodapp @vladtenev	sirius aetherien 🌹🐉🌊	16379	489	False	0	0	2021-01-28 23:59:11
159	"@vladtenev Hey Vlad...

So after we all move our money out of Robinhood, is there a way to make sure you purge our data... you know... trust issues..."	Drew - M.Ed.	994	64	False	1	0	2021-01-28 23:59:11
160	@vladtenev we like $AMC	BPM 37093	4240	87	False	0	0	2021-01-28 23:59:11
161	Don’t worry @vladtenev Robinhood will not be number one on the App Store soon so a lot of problems will go away soon.	Paul Majeski	15764	163	False	0	0	2021-01-28 23:59:11
162	@robinhoodapp CEO @vladtenev is absolutely bombing this @CNBC interview. What a joke. The hedge funds have been doing this for decades.	Greg Corcoran	3265	573	False	0	0	2021-01-28 23:59:11
163	@vladtenev with @RobinhoodApp is a fucking idiot and dodging questions on @CNBC !!!! #boycottrobinhood	Demitri Kritzas	2515	76	False	0	0	2021-01-28 23:59:11
164	@emilychangtv @vladtenev @BloombergTV Do you actually believe the things you are saying right now?	Bo Hickey	12	0	False	0	0	2021-01-28 23:59:11
165	"@vladtenev Thank you. Now can you also give my back my GME call options that were sold today?
#DeleteRobinhood"	Chilliezz	19	1	False	1	0	2021-01-28 23:59:11
166	@vladtenev @vladtenev ... You are fired!!!! https://t.co/oYNpU0CHro	#Bitcoin maximalist hodler	392	21	False	0	0	2021-01-28 23:59:10
