	tweet	user	user_statuses_count	user_followers	user_verified	fav_count	rt_count	date
160	"@tencityhana that was it!!! it's like they're ""sensitive"" but absolutely disgusting at the same time, they'll call you out for saying a word THEY personally don't like while telling you to kys on the same breath"	annie	8855	322	False	1	0	2021-02-02 17:46:17
161	If you think Apple juice is better than orange juice kys .	Idgafaboutyou	63	9	False	0	0	2021-02-02 17:45:59
162	ay yo whoever sent me a dick pic kys	boi rem	1227	73	False	0	0	2021-02-02 17:45:25
163	@nonotcrystal kys instead	hoe	9	0	False	0	0	2021-02-02 17:45:02
164	RT @buffetgirls: white people gentrify the fuck out of aave and then say shit like “people who still say ‘it’s the blank for me are lame’”…	The Promiscuous Pig	1455	2654	False	0	1	2021-02-02 17:42:48
165	RT @KIBUMTOELICKER: yeah we all must defend jonghyun on the internet but telling that person kys and stuff like that?? all the death threat…	em⁷✜⧖*	36131	204	False	0	1	2021-02-02 17:42:36
166	yeah we all must defend jonghyun on the internet but telling that person kys and stuff like that?? all the death threats..... please use your brain a little, this can do a lot of damage and what they did make me fucking mad too but think before your actions	jay 📞	41988	457	False	3	1	2021-02-02 17:42:06
167	"@enhypenyoutube_ @kkambagim @BELIFTLAB @youtubemusic @YouTube @ENHYPEN Dear @BELIFTLAB, @youtubemusic, and @YouTube

It has come to our attention that ENHYPEN's YouTube Music account is not synced to their official YouTube channel. 

We will be patiently waiting for an immediate action to the situation. Thank you in advance. 

@ENHYPEN_members"	sabi	687	21	False	0	0	2021-02-02 17:41:54
168	RT @ASAPMOB: LONG LIVE J.SCOTT ✨☁️🌹 https://t.co/GzWgxdr1vY	🧛🏿‍♂️Angel👨🏾‍🎤	2133	91	False	0	119	2021-02-02 17:41:19
169	white people gentrify the fuck out of aave and then say shit like “people who still say ‘it’s the blank for me are lame’” nobody invited y’all to start using aave anyways pls kys i hate you	taylar	113996	2521	False	2	1	2021-02-02 17:39:44
170	RT @mandytsune: Miruko x Jessica Rabbit, because I had to paint my fantasies 👌🏻 https://t.co/mDWPTVLtb3	Plat :)	1471	56	False	0	1092	2021-02-02 17:34:40
171	@kys_oursnshine DELFI 🥺 https://t.co/fUCr6gokoU	☔︎luna's lala ♡︎ *1st month with lala*	8225	102	False	0	0	2021-02-02 17:30:05
172	"clearing the searches is weird asf talking abt ""i never switched up"" well thts weird bc anybody with a brain would if someone said the n word in the most derogatory way possible, was ableist , and fatphobic🤨. like if u didnt switch up before his apology, either get help or kys."	chittaphons bestie 😁😁	2042	34	False	1	0	2021-02-02 17:28:58
173	whoever cleared searched for jisung/han.....kys	chittaphons bestie 😁😁	2042	34	False	0	0	2021-02-02 17:27:54
174	10 years ago all you was doing was returning a bike 🥺💔 Keep on Resting Jamali 🙏🏽	2021 fulla fuck too.	32576	2218	False	1	1	2021-02-02 17:27:18
